PAPERID,TITLE,AUTHORS,PDFURL
21,Deep Reinforcement Learning for Sepsis Treatment,"Aniruddh Raghu, Matthieu Komorowski, Imran Ahmed, Leo Celi, Peter Szolovits, Marzyeh Ghassemi",https://arxiv.org/pdf/1711.09602.pdf
50,Cost-Effective Active Learning for Melanoma Segmentation,"Marc Gorriz, Axel Carlier, Emmanuel Faure and Xavier Giro-i-Nieto",https://arxiv.org/pdf/1711.09168
27,Learning Deep Representations of Medical Images using Siamese CNNs with Application to Content-Based Image Retrieval,"Yu-An Chung, and Wei-Hung Weng",https://arxiv.org/abs/1711.08490
86,Physiological and behavioral proﬁling for nociceptive pain estimation using personalized multitask learning ,"Daniel Lopez-Martinez, Ognjen Rudovic and Rosalind Picard ",https://arxiv.org/pdf/1711.04036.pdf
75,Mondrian Processes for Flow Cytometry Analysis,"Disi Ji, Eric Nalisnick, Padhraic Smyth",https://arxiv.org/pdf/1711.07673.pdf
15,Adversarial Networks for Prostate Cancer Detection," Simon Kohl, David Bonekamp, Heinz-Peter Schlemmer, Kaneschka Yaqubi, Markus Hohenfellner, Boris Hadaschik, Jan-Philipp Radtke, Klaus Maier-Hein",https://arxiv.org/pdf/1711.10400.pdf
103,Synthetic Medical Images from Dual Generative Adversarial Networks,"John Guibas, Tejpal Virdi, and Peter Li",https://arxiv.org/pdf/1709.01872.pdf
63,Smartphone-based paroxysmal atrial fibrillation monitoring with robust generalization,"Tamas Madl, David Madl",https://arxiv.org/pdf/1711.10862.pdf
84,Predicting readmission risk from doctors' notes,"Erin Craig, Carlos Arias, David Gillman",https://arxiv.org/abs/1711.10663
46,Cross-modal Recurrent Models for Weight Objective Prediction from Multimodal Time-series Data,"Petar Veličković, Laurynas Karazija, Nicholas D. Lane, Sourav Bhattacharya, Edgar Liberis, Pietro Liò, Angela Chieh, Otmane Bellahsen, and Matthieu Vegreville",https://arxiv.org/pdf/1709.08073.pdf
64,Causality Refined Diagnostic Prediction ,"Marcus Klasson, Kun Zhang, Bo C. Bertilson, Cheng Zhang, Hedvig Kjellström",https://arxiv.org/abs/1711.10915
11,Predicting Severe Sepsis Using Text from the Electronic Health Record,"Phil Culliton, Michael Levinson, Alice Ehresman RN, Joshua Wherry, Jay S. Steingrub MD, Stephen I. Gallant",http://arxiv.org/abs/1711.11536
90,Convolutional Neural Networks for Breast Cancer Screening: Transfer Learning with Exponential Decay,"Hiba Chougrad, Hamid Zouaki, and Omar Alheyane",https://arxiv.org/pdf/1711.10752.pdf
40,Embedded Real-Time Fall Detection Using Deep Learning For Elderly Care,"Hyunwoo Lee, Jooyoung Kim, Dojun Yang and Joon-Ho Kim",https://arxiv.org/abs/1711.11200
54,Predicting Adolescent Suicide Attempts with Neural Networks,"Harish S. Bhat, Sidra J. Goldman-Mellor",https://arxiv.org/pdf/1711.10057.pdf
123,A multiobjective deep learning approach for predictive classification in Neuroblastoma,"Valerio Maggio, Marco Chierici, Giuseppe Jurman, Cesare Furlanello",https://arxiv.org/pdf/1711.08198.pdf
67,BioMM: Biologically-informed Multi-stage Machine learning for identification of epigenetic fingerprints,Junfang Chen and Emanuel Schwarz,https://arxiv.org/submit/2090191
53,An Encoder-Decoder Model for ICD-10 Coding of Death Certificates,Elena Tutubalina and Zulfat Miftahutdinov,https://www.arxiv.org
42,Subject Selection on a Riemannian Manifold for Unsupervised Cross-subject Seizure Detection,"Samaneh Nasiri Ghosheh Bolagh , Gari. D. Clifford",https://arxiv.org/submit/2090485
88,Learning Neural Markers of Schizophrenia Disorder Using Recurrent Neural  Networks,"Jumana Dakka, Pouya Bashivan, Mina Gheiratmand",https://arxiv.org/submit/2090674/view
