PAPERID,AUTHORS,TITLE,SESSION,,,,
112,"Hrayr Harutyunyan, Hrant Khachatrian, David Kale, Greg Ver Steeg and Aram Galstyan", A Public Benchmark for Clinical Prediction and Multitask Learning,AM,,,,
119,"Adrian Dalca, John Guttag and Mert Sabuncu",Spatial Anatomical Priors in Convolutional Networks for Unsupervised Biomedical Segmentation,AM,,,,
121,"Gabriel Erion, Hugh Chen, Scott Lundberg and Su-In Lee",Anesthesiologist-level forecasting of hypoxemia with only SpO2 data using deep learning,AM,,,,
12,"Phuoc Nguyen, Truyen Tran and Svetha Venkatesh",Finding Algebraic Structure of Care in Time: A Deep Learning Approach,AM,,,,
36,"Shashank Gupta, Manish Gupta, Vasudeva Varma, Sachin Pawar, Nitin Ramrakhiyani and Girish Keshav Palshikar",Co-training for Extraction of Adverse Drug Reaction Mentions from Tweets,AM,,,,
41,"Sonali Parbhoo, Volker Roth and Finale Doshi-Velez",Counterfactual Reasoning with Dynamic Switching Models for HIV Therapy Selection,PM,,,,
46,"Petar Veličković, Laurynas Karazija, Nicholas Lane, Sourav Bhattacharya, Edgar Liberis, Pietro Lio, Angela Chieh, Otmane Bellahsen and Matthieu Vegreville",Cross-modal Recurrent Models for Weight Objective Prediction from Multimodal Time-series Data,AM,,,,
48,Kartik Ahuja and Mihaela van der Schaar., Joint Concordance Index for Prognostic Models with Competing Risks,AM,,,,
54,Harish S. Bhat and Sidra J. Goldman-Mellor., Predicting Adolescent Suicide Attempts with Neural Networks,AM,,,,
57,"Sanjay Purushotham, Zhengping Che, Bo Jiang and Yan Liu",Deep Multi-Instance Learning for Concept Annotation from Medical Time Series Data,AM,,,,
66,"Prithwish Chakraborty, Vishrawas Gopalakrishnan, Faisal Farooq and Sharon M.H. Alford",A Novel Data-Driven Framework for Risk Characterization and Prediction from Electronic Medical Records: A Case Study of Renal Failure,AM,,,,
81,"Enhao Gong, Junshen Xu, John Pauly and Greg Zaharchuk", Deep Learning reduces 99.5% radiation risk for nuclear medicine functional imaging,AM,,,,
82,"Alexandre Yahi, Rami Vanguri, Noémie Elhadad and Nicholas P. Tatonetti",Generative Adversarial Networks for Electronic Health Records: A Framework for Exploring and Evaluating Methods for Predicting Drug-Induced Laboratory Test Trajectories,AM,,,,
122,"Alican Bozkurt, Kivanc Kose, Christi Alessi-Fox, Dana Brooks, Jennifer Dy and Milind Rajadhyaksha",Delineation of Skin Strata in Reflectance Confocal Microscopy Images using Recurrent Convolutional Networks with Toeplitz Attention,AM,,,,
93,"Alessandro De Palma, Erik Hemberg and Una-May O'Reilly",Distributed Stratified Locality Sensitive Hashing for critical event prediction in the cloud,AM,,,,
22,George Chen and Jeremy Weiss., Survival-Supervised Topic Modeling with Anchor Words: Characterizing Pancreatitis Outcomes,AM,,,,
92,"Iñigo Urteaga, David Albers, Marija Vlajic Wheeler, Anna Druet, Hans Raffauf and Noémie Elhadad",Towards Personalized Modeling of the Female Hormonal Cycle: Experiments with Mechanistic Models and Gaussian Processes,AM,,,,
95,"Kelly Peterson, Ognjen Rudovic, Ricardo Enrique Guerrero Moreno and Rosalind Picard", Personalized Gaussian Processes for Future Prediction of Alzheimerês Disease Progression,AM,,,,
100,"Joseph Futoma, Anthony Lin, Mark Sendak, Armando Bedoya, Meredith Clement, Cara O'Brien and Katherine Heller", Learning to Treat Sepsis with Multi-Output Gaussian Process Deep Recurrent Q-Networks,AM,,,,
5,"Ulrich Bodenhofer, Bettina Haslinger-Eisterer, Alexander Minichmayer, Georg Hermanutz and Jens Meier", Machine Learning-Based Risk Profile Classification: A Case Study for Heart Valve Surgery,AM,,,,
6,Gregory Way and Casey Greene., Evaluating deep variational autoencoders trained on pan-cancer gene expression,AM,,,,
7,"R Lily Hu, Jeremy Karnowski, Ross Fadely and Jean-Patrick Pommier",Image Segmentation to Distinguish Between Overlapping Human Chromosomes,AM,,,,
15,"Simon Kohl, David Bonekamp, Heinz-Peter Schlemmer, Kaneschka Yaqubi, Markus Hohenfellner, Boris Hadaschik, Jan-Philipp Radtke and Klaus Maier-Hein", Adversarial Networks for Prostate Cancer Detection,AM,,,,
16,Kirubin Pillay and Maarten De Vos. ,A unifying Bayesian approach for preterm •brain-ageê prediction that models EEG sleep transitions over age,AM,,,,
18,"Thanh Hai Nguyen, Yann Chevaleyre, Edi Prifti, Nataliya Sokolovska and Jean-Daniel Zucker", Deep Learning for Metagenomic Data: using 2D Embeddings and Convolutional Neural Networks,AM,,,,
19,Tingting Zhu and David Clifton. ,Unsupervised Bayesian Inference for Fusing Sensory Estimates in Physiological Time-series Analysis,AM,,,,
24,"Zeinab Noorian, Chloe Pou-Prom and Frank Rudzicz",On the importance of normative data in speech-based assessment,AM,,,,
30,"Andrew Miller, Sendhil Mullainathan and Ziad Obermeyer", A Hierarchical Generative Model of Electrocardiogram Records,AM,,,,
35,"Shashank Gupta, Manish Gupta, Vasudeva Varma, Sachin Pawar, Nitin Ramrakhiyani and Girish Keshav Palshikar",Multi-Task Learning for Extraction of Adverse Drug Reaction Mentions from Tweets,AM,,,,
42,Samaneh Nasiri Ghosheh Bolagh and Gari Clifford. ,Subject Selection on a Riemannian Manifold for Cross-subject Seizure Detection,AM,,,,
49,"Willie Boag, Mohamed Kané and Pete Szolovits",AWE-CM Vectors: Augmenting Word Embeddings with a Clinical Metathesaurus,AM,,,,
55,"Adam McCarthy, Blanca Rodriguez and Ana Minchole",Variational Inference over Non-differentiable Cardiac Simulators using Bayesian Optimization,AM,,,,
62,"Michelle Guo, Albert Haque, Serena Yeung, Jeffrey Jopling, Lance Downing, Alexandre Alahi, Brandi Campbell, Kayla Deru, William Beninati, Arnold Milstein and Li Fei-Fei",Viewpoint Invariant Convolutional Networks for Identifying Risky Hand Hygiene Scenarios,AM,,,,
64,"Marcus Klasson, Kun Zhang, Bo Bertilson, Cheng Zhang and Hedvig Kjellström",Causality Refined Diagnostic Prediction,AM,,,,
73,"Anton Nemchenko, William Zame and Mihaela Van Der Schaar",Deep Risk: Timely Risk Scoring by a Recurrent Ensemble of Recurrent Neural Networks,AM,,,,
88,"Jumana Dakka, Pouya Bashivan, Mina Gheiratmand, Irina Rish, Shantenu Jha and Russell Greiner", Learning Neural Markers of Schizophrenia Disorder Using Recurrent Neural Networks,AM,,,,
89,"Eric Lei, Kyle Miller, Artur Dubrawski and Michael Pinsky",Internal Bleeding Detection by Multi-View Correlation Clustering of Central Venous Pressure,PM,,,,
108,"Ke Xiao, Heliodoro Tejeda Lemus, Madalina Fiterau, Jason Fries, Christopher Ré, Euan Ashley and James Priest",Data Augmentation for Aortic Valve Morphology Classification from Phase-Contrast MRI,PM,,,,
109,"Carolyn Kim, Erika Strandberg and Mohsen Bayati", Improving Matrix Completion in Healthcare through Missingness Estimation,PM,,,,
114,Janani Kalyanam and Tim Mackey. ,Detection and Characterization of Illegal Marketing and Promotion of Prescription Drugs on Twitter,PM,,,,
123,"Valerio Maggio, Marco Chierici, Giuseppe Jurman and Cesare Furlanello", A multiobjective deep learning approach for predictive classification in Neuroblastoma,PM,,,,
21,"Aniruddh Raghu, Matthieu Komorowski, Imran Ahmed, Leo Celi, Peter Szolovits and Marzyeh Ghassemi",Deep Reinforcement Learning for Sepsis Treatment,PM,,,,
3,"Jiajia Guo, Hongwei Du, Bensheng Qiu and Xiao Liang", A deep learning-based method for relative location prediction in CT scan images,PM,,,,
11,"Steve Gallant, Phil Culliton, Michael Levinson, Alice Ehresman, Joshua Wherry and Jay Steingrub", Predicting Severe Sepsis Using Text from the Electronic Health Record,PM,,,,
13,"Madhumita Sushil, Simon Suster, Kim Luyckx and Walter Daelemans",Unsupervised dense patient representations from unstructured clinical data with interpretable classification decisions,PM,,,,
29,Li Shen., End-to-end Training for Whole Image Breast Cancer Diagnosis using An All Convolutional Design,PM,,,,
33,"Antoine Honore, Saikat Chatterjee, Veronica Siljehav and Eric Herlenius"," Large Neural Network Based Detection of Apnea, Bradycardia and Desaturation Events",PM,,,,
53,Elena Tutubalina and Zulfat Miftakhutdinov. ,An Encoder-Decoder Model for ICD-10 Coding of Death Certificates,PM,,,,
67,Junfang Chen and Emanuel Schwarz. ,BioMM: Biologically-informed Multi-stage Machine learning for identification of epigenetic fingerprints,PM,,,,
72,"Hejia Zhang, Xia Zhu and Theodore L. Willke", Segmenting Brain Tumors with Symmetry,PM,,,,
76,"Wolfgang Fruehwirt, Matthias Gerstgrasser, Pengfei Zhang, Leonard Weydemann, Stephen Roberts and Georg Dorffner",Riemannian tangent space mapping and elastic net regularization for cost-effective EEG markers of brain atrophy in Alzheimer's disease,PM,,,,
77,"Pranav Rajpurkar, Vinaya Polamreddi and Anusha Balakrishnan",Malaria Likelihood Prediction By Effectively Surveying Households Using Deep Reinforcement Learning,PM,,,,
84,"Erin Craig, Carlos Arias and David Gillman",Predicting readmission risk from doctors' notes,PM,,,,
98,"Chen Fang, Panuwat Janwattanapong and Malek Adjouadi",A Global Feature Extraction Model for Improving the Early Computer Aided Diagnosis Performance of Alzheimerês Disease Using Structural MRI Images,PM,,,,
103,"Tejpal Virdi, John Guibas and Peter Li", Synthetic Medical Images from Dual Generative Adversarial Networks,PM,,,,
104,Li-Fang Cheng and Luca Foschini. ,The Impact of Missing Data in User-Generated mHealth Time Series,PM,,,,
110,"Bharat Srikishan, Rajesh Ranganath and Noemie Elhadad",Interpreting Comorbidity Groups via Risk Trajectories in the Health Record,PM,,,,
63,Tamas Madl and David Madl. ,Smartphone-based paroxysmal atrial fibrillation monitoring with robust generalization,PM,,,,
85,Jyoti Islam and Yanqing Zhang., An Ensemble of Deep Convolutional Neural Networks for Alzheimerês Disease Detection and Classification,PM,,,,
14,"MÍriam Bellver, Kevis-Kokitsi Maninis, Pont-Tuset Jordi, Xavier Gir„-I-Nieto, Jordi Torres and Luc Van Gool", Detection-aided liver lesion segmentation using deep learning,PM,,,,
27,Yu-An Chung and Wei-Hung Weng. ,Learning Image Representations using Deep Siamese CNNs for Content-Based Medical Image Retrieval,PM,,,,
34,"Zeev Waks, Itzik Mazeh, Chen Admati, Michal Afek, Yonatan Dolan and Avishai Wagner", Wrist Sensor Fusion Enables Robust Gait Quantification Across Walking Scenarios,PM,,,,
113,"Hasham Ul Haq, Rameel Ahmad and Sibt Ul Hussain","Hasham Ul Haq, Rameel Ahmad and Sibt Ul Hussain. Intelligent EHRs: Predicting Procedure codes from diagnosis",PM,,,,
118,"Muktabh Mayank Srivastava, Pratyush Kumar, Lalit Pradhan and Srikrishna Varadarajan",Detection of Tooth caries in Bitewing Radiographs using Deep Learning,PM,,,,
96,David Healey., Drug toxicity prediction through a multi-view neural network incorporating both compound structure and high content imaging,PM,,,,
37,"Youjin Kim, Yun-Geun Lee, Jeong Whun Kim, Jin Joo Park, Borim Ryu and Jung-Woo Ha",Highrisk Prediction from Electronic Medical Records via Deep Attention Networks,PM,,,,
39,"Hugh Chen, Scott Lundberg and Su-In Lee", Hybrid Gradient Boosting Trees and Neural Networks for Forecasting Operating Room Data,PM,,,,
50,"Marc Górriz, Xavier Giro-I-Nieto, Axel Carlier and Emmanuel Faure",Cost-Effective Active Learning for Melanoma Segmentation,PM,,,,
60,"Marc-Andre Schulz, Gael Varoquaux, Alexandre Gramfort, Bertrand Thirion and Danilo Bzdok",Label scarcity in biomedicine: Data-rich latent factor discovery enhances phenotype prediction,PM,,,,
65,"Brenden Petersen, Michael Mayhew, Kalvin Ogbuefi, John Greene, Vincent Liu and Priyadip Ray", Modeling sepsis progression using hidden Markov models,PM,,,,
69,Sunho Park and Tae Hyun Hwang. ,Bayesian (Semi-)Nonnegative Tri-Matrix Factorization with a Finite Dependent Beta-Bernoulli Prior to Find Pathways Associated with Cancer Types,PM,,,,
79,"Samuel Weisenthal, Haofu Liao and Martin Zand",Sum of previous inpatient serum creatinine measurements predicts acute kidney injury in rehospitalized patients,PM,,,,
90,Hiba Chougrad and Hamid Zouaki. ,Convolutional Neural Networks for Breast Cancer Screening: Transfer Learning with Exponential Decay,PM,,,,
99,"Filip Dabek, Peter Hoover, Elizabeth Jimenez and Jesus Caban", Modelling & Exploring Clinical Symptom Trajectories Post-Traumatic Brain Injury,PM,,,,
102,"Chris Wu, Tanay Tandon, Dhruv Parthasarathy, Louis Virey, Deepika Bodapati, Sreevaths Kasireddy and Steve Moffatt",Rapid point-of-care Hemoglobin measurement through low-cost optics and Convolutional Neural Network based validation,PM,,,,
116,"Matthew McDermott, Marzyeh Ghassemi, Nathan Hunt, Harini Suresh, Geeticka Chauhan, Tristan Naumann and Peter Szolovits",Learning Physiological Decline via Random Structure Mortality Prediction Using Split RNNs,PM,,,,
120,"Gatis Mikelsons, Matthew Smith, Abhinav Mehrotra and Mirco Musolesi",Towards Deep Learning Models for Psychological State Prediction using Smartphone Data: Challenges and Opportunities,PM,,,,
94,"Wei-Hung Weng, Mingwu Gao, Ze He, Susu Yan and Peter Szolovits",Representation and Reinforcement Learning for Personalized Glycemic Control in Septic Patients,PM,,,,
97,"Vincent Chen, Paroma Varma, Madalina Fiterau, Seung-Pyo Lee, James Priest and Christopher Ré", Automated Training Set Generation for Aortic Valve Classification,PM,,,,
